product_id,title,description,image_url,price,site_url,product_type
101,3D-принтер HeyGears ChairSide Pro в комплекте с УФ камерой,"ChairSide Pro - это профессиональная система DLP печати, созданная специально для стоматологий. Принтер вместе с собственной линейкой полимеров HeyGears подходит для изготовления любых конструкций, от съемных и несъемных протезов до изделий для ортодонтии.",product_images/1-ChairSide Pro.png,1045000,https://dilikat.ru/catalog/3d-printer-chairside-pro/,1
102,3D-принтер Creality HALOT-SKY 2022,"Halot Sky - представитель флагманской линейки фотополимерных принтеров от Creality. Принтер подходит как для творчества, так и для профессиональной деятельности, например для дентальной, архитектурной и других сфер.",product_images/1-Creality HALOT SKY.png,105000,https://dilikat.ru/catalog/3d-printer-creality-halot-sky-2022/,1
103,3D принтер Phrozen Sonic Mighty 8K,"Новый принтер от Phrozen пополнил линейку моделей с разрешением 8K, и, помимо невероятного качества печати, также предоставляет пользователям большую область построения 218 х 123 х 235 мм. Mighty 8K, несмотря на компактные размеры, обеспечивает высокую производительность и позволяет массово производить изделия со сверхвысоким разрешением, независимо от размера или масштаба. Более того, интуитивно понятный интерфейс Sonic Mighty 8K делает его подходящим даже для новичков!",product_images/1-Phrozen Sonic Mighty 8K.jpg,99990,https://dilikat.ru/catalog/3d-printer-phrozen-sonic-mighty-8k/,1
201,3D сканер Up3D Up560 ,"Up560 — это флагманская модель 2021 года от Up3D. С Up560 можно получить качественные цифровые оттиски, позволяющие моделировать работы любой сложности, в том числе протяжённые работы на винтовой фиксации",product_images/2-Up3D Up560.jpg,770000,https://dilikat.ru/catalog/3d-skaner-up560-up3d/,2
202,Интраоральный сканер BLZ INO 200,"BLZ INO 200 - это удобный инструмент для получения стоматологических оттисков, по сравнению с аналоговыми методами. Традиционные слепки уступают цифровым по многим параметрам: первое - скорость; второе - точность, которая во время заливки формы теряется, и, в-третьих, они могут деформироваться при транспортировке. ",product_images/2-BLZ INO 200.jpg,750000,https://dilikat.ru/catalog/3d-skaner-up560-up3d/,2
301,Фрезерный станок Deprag W52 с тумбой,"W52 - это универсальный 5-осевой фрезерный станок, который подходит как для сухой, так и мокрой обработки.",product_images/3-Deprag W52 с тумбой.png,3296800,https://dilikat.ru/catalog/frezernyy-stanok-deprag-w52/,3
401,Печь для синтеризации циркона Zotion F2,"Zotion F2 — это компактная, экономичная печь для синтеризации диоксида циркония. Устройство предназначено для синтеризации по стандартам производителей циркона, также печь поддерживает режим ""быстрого спекания"".",product_images/4-Zotion F2.png,395000,https://dilikat.ru/catalog/pech-dlya-sinterizatsii-tsirkona-zotion-f2/,4
501,Фотополимер HARZ Labs Demo Bone,"Материал предназначен для изготовления демонстрационных моделей, имитирующих кость. Обладает высокой твердостью по Шору D, устойчив к механическим и термическим воздействиям. Слабовыраженный запах и отсутствие вредных мономеров позволяет работать с ним даже в небольшом помещении. Соответствует требованиям ГОСТ Р ИСО 10993",product_images/5-HARZ Labs Demo Bone.png,9200,https://dilikat.ru/catalog/fotopolimer-demo-bone/,5
601,Zirdent PMMA Clear блок-заготовка из полиметилметакрилата,"Блок-заготовка из полиметилметакрилата PMMA предназначена для изготовления хирургических шаблонов, сплинтов и прозрачных кап методом CAD/CAM фрезерования.

Блок-заготовка из PMMA легко поддается фрезеровке и последующей обработке. Благодаря исключительным свойствам полируемости достигается уникальный длительный эффект блеска.

PMMA обладает экстремальной устойчивостью к зубному налету и отличается высокой цветовой стабильностью. Готовый продукт фрезерования получает высокую прочность, великолепную цветопередачу, прозрачность и эстетичность.

Кроме этого, PMMA обладает высокой биологической совместимостью и пригоден для всех пациентов, страдающих аллергией.",product_images/6-Zirdent PMMA Clear.png,1800,https://dilikat.ru/catalog/zirdent-pmma-blok-zagotovka-iz-polimetilakrilata-98-mm/,6
701,"Фрезы CAD/CAM Deprag, E-max",Инструменты специально предназначены для фрезерования E-max блоков до 30-40 единиц,product_images/7-Deprag T15 E-max Burs 2.5.png,3668,https://dilikat.ru/catalog/frezy-cad-cam-deprag-e-max/,7
